6.82643	0.31992
7.31164	0.32442
7.67894	0.33734
8.07901	0.35888
8.98426	0.34597
9.45413	0.33361
9.80689	0.31995
10.66283	0.29617
11.11381	0.30947
11.51531	0.31379
11.74955	0.31604
11.95063	0.31417
12.40294	0.31155
12.80535	0.30500
13.24115	0.29957
13.69315	0.30070
14.11124	0.30688
14.61261	0.31831
14.93021	0.32487
15.18128	0.32600
15.38231	0.32469
15.81801	0.32057
16.18684	0.31496
16.70627	0.31066
17.09131	0.31160
17.52645	0.31404
18.02861	0.31610
18.41331	0.32116
18.88200	0.32285
19.26699	0.32435
19.73567	0.32623
20.12062	0.32830
20.45549	0.32849
20.99156	0.32531
21.42751	0.31820
